working_hours,tasks_completed,breaks,satisfaction,burnout_risk
59,42,6,4,0
44,26,5,7,0
61,16,3,10,1
47,25,2,10,1
53,28,1,1,1
45,36,5,4,0
47,37,4,2,1
55,30,3,9,1
42,34,2,5,0
42,43,1,3,0
38,20,4,4,0
49,37,2,6,1
62,18,6,10,0
45,29,5,1,0
45,38,6,7,0
35,39,5,8,0
51,15,4,7,1
49,21,6,7,0
54,39,5,9,0
40,26,3,4,0
58,24,4,7,1
56,19,5,9,0
62,26,1,5,1
59,32,5,2,0
49,24,6,5,0
43,20,3,4,0
48,42,2,8,1
52,26,2,5,1
60,21,5,9,0
51,32,2,9,1
52,16,5,3,0
39,24,3,10,0
54,29,2,6,1
54,44,6,6,0
43,26,6,4,0
45,40,1,10,0
58,31,5,3,0
56,18,2,1,2
35,21,6,7,0
52,44,3,5,1
40,23,3,10,0
61,33,1,7,1
36,42,3,1,0
49,41,3,8,1
63,37,2,3,2
60,21,5,7,0
55,37,4,3,1
48,16,3,3,1
39,20,3,10,0
40,32,4,9,0
40,20,3,2,0
64,27,2,4,2
56,40,2,6,1
64,33,4,3,1
52,44,6,10,0
48,16,3,10,1
44,26,6,7,0
48,29,3,7,1
47,28,5,5,0
64,20,3,3,1
37,32,2,2,0
64,19,1,4,2
40,32,1,4,0
63,17,1,8,1
42,17,1,8,0
46,36,6,5,0
47,36,6,6,0
45,24,3,8,0
46,33,6,1,0
35,17,3,5,0
51,43,5,4,0
50,26,3,4,1
45,43,1,2,0
47,30,4,10,1
52,31,4,1,1
45,21,2,6,0
62,27,2,7,1
46,38,3,5,1
40,16,4,8,0
43,18,1,9,0
50,24,6,2,0
38,21,1,4,0
37,38,1,9,0
62,31,3,5,1
50,34,3,3,1
58,20,5,6,0
61,33,1,3,2
60,19,1,5,1
64,24,3,3,1
59,23,3,6,1
46,41,5,10,0
45,27,5,5,0
39,33,2,9,0
59,35,4,3,1
52,38,1,6,1
53,20,1,8,1
57,18,5,7,0
57,38,5,6,0
40,41,2,2,0
56,17,4,7,1
52,17,2,8,1
60,18,4,1,1
40,39,6,9,0
38,19,1,4,0
46,22,2,8,1
53,30,5,10,0
63,36,2,7,1
61,17,6,10,0
63,38,2,7,1
36,26,1,2,0
51,39,6,1,0
45,22,5,4,0
45,27,5,2,0
55,18,3,8,1
50,28,6,10,0
36,28,3,7,0
36,27,3,8,0
57,41,1,6,1
42,20,2,1,0
47,31,5,9,0
44,18,5,6,0
42,22,2,10,0
64,31,5,1,0
38,17,2,1,0
49,31,6,8,0
64,23,1,6,1
35,16,1,8,0
45,39,1,8,0
41,27,2,8,0
51,34,2,10,1
61,16,4,7,1
54,34,5,7,0
58,42,5,10,0
52,25,4,4,1
56,41,4,9,1
63,40,1,2,2
56,36,4,9,1
46,29,2,10,1
43,25,3,3,0
39,37,2,2,0
44,17,4,4,0
38,17,5,5,0
39,42,2,2,0
62,40,5,1,0
62,26,2,10,1
44,38,5,5,0
45,19,6,9,0
55,34,2,5,1
58,21,5,10,0
44,21,3,9,0
62,27,1,10,1
42,23,2,6,0
36,39,3,3,0
57,35,1,4,2
42,27,2,4,0
50,26,3,1,1
61,27,3,3,1
56,38,6,3,0
39,24,3,1,0
61,15,6,9,0
59,39,4,1,1
63,22,5,9,0
37,36,1,1,0
46,30,5,2,0
47,27,5,2,0
47,17,6,6,0
44,17,5,7,0
38,38,3,1,0
43,19,6,3,0
56,40,5,2,0
58,25,6,8,0
57,44,4,9,1
61,21,6,2,0
36,35,2,2,0
53,38,3,10,1
35,24,1,9,0
59,24,2,4,2
63,34,2,5,1
41,16,2,9,0
51,17,5,6,0
37,22,6,10,0
54,25,6,9,0
54,27,5,9,0
55,21,3,7,1
64,27,5,10,0
37,16,5,9,0
37,20,5,5,0
51,23,3,5,1
41,34,3,8,0
61,39,4,10,1
60,16,4,4,1
48,32,4,9,1
51,30,4,7,1
52,39,6,7,0
47,26,2,3,1
54,21,2,4,1
63,21,4,7,1
54,31,4,5,1
55,27,1,3,1
61,25,2,1,2
52,20,1,7,1
38,43,1,6,0
35,37,5,10,0
52,41,6,7,0
35,28,3,2,0
60,20,2,4,2
60,20,4,2,1
47,16,4,8,1
54,36,3,7,1
54,34,2,1,1
57,39,4,2,1
44,29,4,2,0
61,42,5,4,0
45,31,1,3,0
43,43,4,1,0
43,22,6,2,0
39,19,2,9,0
60,31,6,1,0
35,34,3,9,0
51,15,5,7,0
56,36,2,2,2
36,32,5,2,0
58,29,1,5,1
47,19,4,5,1
43,21,2,4,0
63,32,3,10,1
38,20,1,10,0
39,36,1,3,0
45,35,5,4,0
58,19,1,10,1
53,44,2,4,1
55,33,5,2,0
37,24,1,5,0
46,29,3,5,1
60,24,6,5,0
53,41,2,10,1
53,30,3,1,1
47,26,3,6,1
62,32,5,2,0
41,37,4,7,0
49,15,5,4,0
57,30,2,5,1
41,36,2,5,0
60,20,5,5,0
42,17,4,2,0
39,16,5,5,0
55,42,2,3,1
48,16,4,4,1
38,44,2,2,0
57,27,4,4,1
44,23,4,9,0
54,30,5,8,0
49,41,5,3,0
52,19,5,1,0
54,37,4,1,1
47,42,4,6,1
63,35,2,3,2
42,21,3,4,0
43,27,5,1,0
50,34,6,8,0
53,38,2,1,1
50,43,2,5,1
41,41,1,6,0
48,44,5,2,0
62,40,2,7,1
48,27,1,7,1
59,41,6,1,0
61,40,6,4,0
38,21,5,4,0
60,24,4,5,1
49,29,1,1,1
37,35,4,1,0
39,41,6,7,0
35,20,6,9,0
37,19,3,1,0
49,37,3,2,1
58,42,3,6,1
61,16,3,6,1
42,35,2,2,0
63,29,3,9,1
38,40,2,4,0
36,30,2,7,0
63,33,5,6,0
58,23,2,3,2
58,43,2,8,1
44,36,3,7,0
38,43,2,9,0
37,40,4,3,0
36,33,3,1,0
59,21,1,2,2
51,18,3,1,1
57,44,2,5,1
55,17,4,10,1
58,38,3,2,1
54,43,4,3,1
57,34,1,8,1
47,25,6,10,0
39,15,1,5,0
64,20,6,4,0
55,40,5,5,0
64,25,6,10,0
43,41,5,6,0
59,15,3,7,1
63,35,5,9,0
59,21,4,1,1
62,20,5,4,0
56,28,4,9,1
40,16,6,5,0
39,41,6,8,0
59,18,6,1,0
44,25,5,4,0
42,29,6,9,0
41,32,5,1,0
41,41,5,1,0
40,15,2,4,0
55,17,2,3,1
63,17,5,7,0
54,42,4,3,1
37,21,3,1,0
53,15,1,10,1
56,39,2,2,2
49,25,5,10,0
38,20,1,4,0
62,34,2,1,2
46,17,3,1,1
40,33,4,8,0
53,16,5,7,0
38,32,3,8,0
49,44,2,4,1
43,26,5,6,0
39,43,1,3,0
47,24,6,8,0
57,19,4,4,1
60,23,2,3,2
52,16,4,4,1
64,16,5,6,0
64,42,6,7,0
39,20,3,7,0
59,43,4,4,1
50,24,1,8,1
61,32,2,7,1
53,26,1,2,1
48,18,4,8,1
59,36,6,9,0
64,35,3,5,1
50,31,3,4,1
61,29,1,4,2
49,20,5,4,0
56,30,5,6,0
38,31,6,4,0
41,17,3,7,0
50,24,1,7,1
58,19,1,5,1
56,28,1,5,1
55,40,4,10,1
56,43,6,8,0
55,35,5,7,0
42,27,5,7,0
51,40,4,6,1
50,20,2,7,1
61,26,4,7,1
57,40,6,10,0
44,22,1,2,0
44,19,4,10,0
61,44,1,2,2
36,29,6,10,0
64,41,6,7,0
43,30,3,10,0
51,15,1,7,1
45,30,5,7,0
44,19,4,5,0
56,17,6,1,0
59,34,1,2,2
51,29,2,9,1
38,27,3,8,0
50,38,2,8,1
54,30,6,10,0
49,37,2,1,1
59,25,2,6,1
61,35,3,9,1
55,16,3,8,1
39,36,3,3,0
40,41,3,4,0
51,20,2,3,1
35,40,5,6,0
59,40,5,9,0
53,44,3,8,1
38,41,4,10,0
51,20,1,4,1
43,28,6,2,0
58,39,4,8,1
36,25,6,8,0
42,22,4,6,0
49,22,4,8,1
41,15,5,9,0
61,35,1,1,2
40,21,4,9,0
35,20,3,2,0
49,35,6,1,0
57,22,5,8,0
60,33,6,8,0
41,36,3,4,0
63,35,3,8,1
64,38,4,7,1
59,34,3,2,1
51,22,1,5,1
36,40,3,10,0
61,28,4,4,1
43,32,6,3,0
63,39,3,1,1
43,43,5,5,0
47,30,5,10,0
40,23,5,8,0
40,29,6,9,0
54,44,2,7,1
54,40,5,1,0
55,24,5,1,0
37,43,2,1,0
51,36,6,2,0
51,30,5,1,0
46,18,4,4,1
50,34,6,10,0
49,27,5,9,0
47,36,5,4,0
57,19,2,4,2
35,36,4,7,0
51,21,6,9,0
37,37,3,7,0
60,23,1,1,2
49,22,4,1,1
38,43,3,4,0
38,30,4,4,0
52,20,3,1,1
51,42,3,6,1
53,30,4,10,1
45,20,2,2,0
54,28,4,5,1
37,35,4,8,0
42,15,3,3,0
48,39,1,9,1
60,23,3,7,1
35,39,5,9,0
48,41,4,1,1
36,38,6,5,0
63,27,4,3,1
57,40,2,4,2
38,43,6,4,0
58,33,3,7,1
61,31,2,10,1
63,25,4,8,1
53,42,3,10,1
40,42,3,5,0
59,22,5,10,0
35,37,5,7,0
51,43,1,3,1
42,19,5,3,0
53,24,6,3,0
55,21,3,4,1
35,24,5,6,0
39,18,1,5,0
61,23,4,8,1
50,41,6,5,0
40,40,5,5,0
42,28,3,10,0
47,16,4,2,1
50,39,3,5,1
64,23,4,7,1
37,35,6,2,0
53,41,3,6,1
46,15,5,7,0
50,37,5,5,0
61,24,1,9,1
45,24,4,4,0
44,34,1,10,0
59,39,2,1,2
54,36,5,8,0
38,43,4,8,0
46,17,6,7,0
57,20,1,8,1
36,43,6,2,0
58,40,6,3,0
56,20,6,9,0
53,35,1,1,1
59,16,2,8,1
39,40,1,8,0
42,40,3,7,0
41,32,5,5,0
48,37,1,4,1
58,16,1,10,1
57,26,2,10,1
37,36,3,10,0
52,19,1,10,1
50,34,5,6,0
57,21,5,1,0
53,38,1,5,1
53,30,6,4,0
52,34,6,4,0
54,15,3,7,1
50,15,5,9,0
42,31,6,8,0
62,41,5,8,0
35,15,3,5,0
51,35,3,6,1
46,34,6,2,0
64,27,1,3,2
55,44,4,5,1
45,23,2,2,0
39,29,4,3,0
61,17,4,4,1
46,28,5,6,0
51,37,3,5,1
40,25,5,10,0
35,38,6,4,0
39,36,2,2,0
59,26,6,5,0
62,27,1,5,1
48,40,2,7,1
39,27,5,1,0
56,15,5,4,0
58,38,6,5,0
61,24,5,8,0
35,17,5,8,0
64,38,4,1,1
52,42,1,5,1
50,18,4,10,1
43,30,5,1,0
53,22,3,1,1
56,30,4,2,1
39,41,5,2,0
61,31,5,9,0
36,33,1,4,0
64,36,6,3,0
49,29,2,1,1
41,30,4,2,0
38,29,4,6,0
35,39,4,9,0
47,16,5,5,0
54,25,1,4,1
56,15,5,5,0
41,29,5,9,0
49,40,6,7,0
57,33,3,8,1
48,18,1,4,1
57,25,4,8,1
53,19,2,6,1
56,17,4,5,1
63,27,5,7,0
58,24,1,6,1
54,25,1,3,1
63,32,1,5,1
58,16,3,9,1
52,21,4,7,1
44,23,3,4,0
43,24,6,7,0
59,32,2,5,1
42,37,6,2,0
60,21,5,6,0
64,41,3,7,1
63,21,3,8,1
44,17,6,6,0
51,26,5,8,0
36,21,1,7,0
40,31,5,2,0
60,40,4,6,1
39,15,6,9,0
62,19,5,6,0
64,30,1,4,2
43,29,5,7,0
39,16,3,3,0
52,23,2,5,1
60,21,3,1,1
54,18,2,10,1
43,34,5,3,0
51,32,4,8,1
61,35,5,9,0
51,18,1,9,1
46,42,5,10,0
41,27,2,2,0
61,15,3,4,1
37,42,4,5,0
44,38,5,3,0
36,17,5,1,0
59,30,3,6,1
37,44,4,10,0
50,36,6,2,0
36,18,5,9,0
62,39,5,1,0
58,37,6,9,0
44,39,2,7,0
40,30,2,10,0
56,40,1,2,2
60,33,3,6,1
45,15,4,8,0
57,19,5,2,0
41,33,5,5,0
61,36,1,6,1
63,38,5,3,0
49,25,3,2,1
40,27,1,6,0
54,34,3,3,1
61,19,1,2,2
43,35,5,1,0
56,18,1,8,1
54,18,2,1,1
46,18,4,5,1
53,18,5,6,0
54,34,6,3,0
37,35,4,7,0
49,32,5,2,0
36,32,4,7,0
64,30,2,2,2
55,23,4,5,1
36,32,1,7,0
56,36,4,3,1
37,16,5,4,0
40,35,6,1,0
49,18,6,3,0
61,26,3,9,1
44,21,4,10,0
43,29,6,5,0
35,21,4,8,0
50,43,6,2,0
40,36,4,3,0
43,40,5,7,0
61,35,4,10,1
38,31,5,4,0
61,30,5,9,0
62,42,3,7,1
36,33,6,1,0
63,23,1,4,2
38,28,5,10,0
35,31,6,6,0
53,19,2,6,1
60,16,4,10,1
59,34,2,6,1
44,30,4,5,0
55,28,3,3,1
49,28,5,2,0
61,41,1,3,2
56,15,5,9,0
53,17,4,3,1
50,40,1,3,1
55,21,5,1,0
61,40,1,2,2
58,29,4,3,1
56,33,3,2,1
38,34,3,8,0
36,16,5,6,0
64,33,2,7,1
59,23,4,1,1
47,33,5,6,0
62,41,5,2,0
35,19,3,6,0
51,32,1,3,1
47,30,4,7,1
38,18,1,3,0
41,26,6,9,0
51,43,6,3,0
43,21,4,7,0
38,28,2,4,0
53,37,6,8,0
35,26,3,2,0
44,17,2,8,0
38,19,5,9,0
43,31,6,8,0
47,40,3,6,1
48,24,5,10,0
44,24,2,1,0
40,25,4,7,0
50,31,5,1,0
40,19,1,7,0
51,27,4,2,1
44,24,4,8,0
52,23,2,2,1
61,31,2,3,2
56,15,3,3,1
52,18,3,1,1
37,18,1,5,0
54,32,4,5,1
61,23,1,10,1
55,44,1,5,1
59,39,2,9,1
62,43,1,6,1
49,43,1,6,1
49,32,5,3,0
38,28,3,5,0
63,39,3,10,1
61,29,4,7,1
43,20,3,3,0
61,38,6,2,0
60,24,4,5,1
53,43,5,3,0
58,29,3,5,1
62,43,5,9,0
51,18,3,10,1
45,32,3,1,0
59,32,5,4,0
43,39,1,10,0
44,31,1,5,0
52,26,1,2,1
54,21,6,2,0
47,30,1,1,1
42,25,3,8,0
41,28,2,2,0
51,17,5,3,0
55,33,2,2,1
57,32,6,4,0
49,44,2,1,1
54,24,4,3,1
49,20,1,5,1
35,27,6,10,0
59,24,3,1,1
48,32,1,4,1
39,40,1,6,0
45,34,2,4,0
50,40,4,7,1
36,30,1,7,0
42,39,5,6,0
45,39,5,9,0
63,20,1,2,2
52,27,2,10,1
37,18,2,8,0
64,37,3,8,1
60,28,6,10,0
35,15,6,4,0
45,42,6,6,0
50,34,4,6,1
52,19,2,5,1
64,22,3,1,1
50,26,5,3,0
57,16,6,7,0
44,26,5,8,0
52,19,5,2,0
40,36,1,3,0
53,19,4,4,1
38,27,3,5,0
61,23,4,3,1
47,24,1,5,1
58,15,3,8,1
48,44,3,8,1
37,17,2,2,0
44,44,4,6,0
40,32,4,4,0
35,26,2,9,0
57,43,5,10,0
58,17,1,2,2
61,40,4,8,1
48,39,2,1,1
42,43,3,6,0
53,44,6,10,0
48,23,2,1,1
44,40,6,2,0
51,16,5,3,0
43,44,1,9,0
63,17,6,5,0
40,28,5,10,0
45,18,6,10,0
59,39,3,2,1
41,33,3,10,0
51,27,3,5,1
62,21,3,5,1
62,26,2,1,2
35,17,3,3,0
56,37,3,5,1
39,37,2,9,0
43,23,3,10,0
52,16,5,1,0
58,43,5,8,0
61,36,4,1,1
55,23,5,9,0
36,26,1,6,0
63,26,1,1,2
60,29,1,8,1
45,16,2,5,0
61,32,5,7,0
62,27,1,7,1
40,28,4,7,0
60,19,2,6,1
42,40,4,8,0
38,24,5,9,0
52,26,3,2,1
62,24,4,7,1
45,38,3,2,0
39,25,2,6,0
49,39,4,2,1
62,16,4,10,1
52,19,6,6,0
36,44,2,2,0
56,21,2,1,2
45,20,1,7,0
60,36,5,3,0
59,37,4,4,1
47,17,4,6,1
38,27,2,5,0
56,17,2,4,2
41,40,5,9,0
63,39,2,6,1
45,44,3,6,0
56,38,3,2,1
58,35,6,6,0
38,20,3,7,0
62,25,3,8,1
49,42,5,8,0
35,40,4,9,0
57,31,3,10,1
37,24,6,3,0
48,26,2,10,1
40,31,3,7,0
52,18,6,7,0
59,16,5,1,0
35,25,2,8,0
40,21,6,4,0
40,16,3,5,0
55,40,4,6,1
50,32,2,3,1
63,35,2,5,1
39,18,4,10,0
51,22,2,5,1
44,34,3,1,0
62,28,2,3,2
55,26,3,3,1
52,36,4,1,1
41,35,1,7,0
37,41,4,1,0
47,44,3,7,1
49,32,5,4,0
54,25,4,9,1
53,43,5,7,0
37,42,5,5,0
38,44,3,7,0
39,22,3,9,0
35,16,1,10,0
38,39,6,6,0
46,29,2,1,1
62,23,4,6,1
61,33,3,1,1
58,34,4,4,1
44,22,6,8,0
57,39,6,5,0
59,33,5,5,0
55,19,2,10,1
63,25,1,8,1
60,29,4,8,1
54,22,2,1,1
58,33,1,5,1
59,37,4,5,1
47,41,2,8,1
57,22,3,1,1
48,40,4,7,1
57,41,2,7,1
39,44,6,9,0
38,33,1,2,0
48,32,2,3,1
44,24,3,4,0
51,43,4,1,1
44,21,4,7,0
60,42,4,10,1
41,23,3,3,0
50,15,1,3,1
35,33,4,3,0
51,19,1,8,1
55,33,2,9,1
63,15,6,10,0
43,29,6,2,0
40,30,1,10,0
53,37,1,10,1
47,21,6,1,0
37,40,4,9,0
41,26,5,6,0
56,22,5,9,0
43,19,3,6,0
56,24,6,2,0
39,42,6,1,0
44,35,3,8,0
57,19,5,3,0
51,31,2,1,1
46,40,4,8,1
57,19,4,1,1
50,36,2,8,1
37,29,2,1,0
64,27,5,9,0
59,42,3,9,1
56,15,2,9,1
43,25,3,3,0
63,37,1,4,2
49,15,4,5,1
39,25,5,6,0
57,32,4,9,1
47,32,5,4,0
48,35,1,6,1
54,44,4,1,1
49,40,1,2,1
50,30,5,8,0
57,27,2,4,2
47,21,4,10,1
51,15,1,7,1
57,40,6,4,0
42,30,4,9,0
55,15,4,9,1
36,31,4,4,0
39,20,3,8,0
40,16,1,6,0
46,31,1,1,1
52,20,4,7,1
64,28,2,1,2
56,32,4,3,1
56,20,3,8,1
35,24,5,9,0
64,38,3,3,1
51,32,2,1,1
64,41,4,1,1
45,23,1,7,0
44,22,6,5,0
53,42,4,1,1
48,24,2,6,1
60,31,1,6,1
44,37,3,4,0
49,44,5,7,0
62,43,5,7,0
53,40,4,9,1
38,20,3,1,0
36,28,6,5,0
43,36,6,10,0
44,36,2,3,0
62,20,5,7,0
45,40,3,4,0
48,21,4,4,1
41,26,1,1,0
57,17,4,1,1
49,28,4,10,1
56,36,3,2,1
53,33,5,2,0
56,37,3,1,1
49,30,1,8,1
64,21,3,6,1
62,22,2,6,1
58,32,4,10,1
42,39,5,10,0
45,27,6,9,0
63,35,1,5,1
43,23,6,4,0
49,24,4,6,1
35,35,3,8,0
64,37,6,1,0
35,41,2,7,0
53,23,3,8,1
37,29,4,9,0
44,34,6,8,0
42,16,1,7,0
49,39,6,3,0
44,27,6,2,0
35,16,5,3,0
63,33,6,4,0
52,40,4,4,1
36,16,1,6,0
53,17,4,7,1
47,20,2,4,1
56,17,3,10,1
35,24,6,6,0
36,38,5,9,0
63,41,1,6,1
50,20,5,3,0
49,37,5,1,0
47,30,5,10,0
50,31,6,10,0
51,33,1,5,1
55,17,1,10,1
63,32,5,10,0
63,21,3,3,1
41,23,6,8,0
58,34,6,10,0
60,26,4,1,1
51,19,6,2,0
41,17,5,3,0
47,25,2,3,1
39,39,5,8,0
60,44,1,5,1
51,18,6,8,0
37,19,6,6,0
41,15,4,2,0
60,41,2,4,2
51,42,6,9,0
41,43,4,4,0
55,32,4,5,1
35,26,2,5,0
51,27,5,10,0
64,23,5,8,0
51,16,5,6,0
45,19,3,10,0
59,27,5,7,0
61,30,2,6,1
63,30,3,5,1
37,38,5,5,0
49,17,3,3,1
63,36,2,7,1
55,18,5,10,0
45,25,1,5,0
60,37,6,7,0
62,40,2,2,2
50,28,4,9,1
59,43,4,8,1
56,17,2,5,1
62,30,4,2,1
43,36,2,6,0
58,29,1,8,1
58,42,2,7,1
35,24,5,8,0
63,23,5,4,0
59,25,3,3,1
56,30,4,7,1
50,24,6,2,0
43,31,4,5,0
53,33,2,7,1
46,16,6,1,0
53,38,6,4,0
56,37,4,2,1
43,16,6,6,0
41,20,6,1,0
48,33,5,7,0
63,22,1,3,2
53,40,2,1,1
53,43,4,8,1
36,17,5,7,0
43,40,3,2,0
47,28,6,7,0
49,39,6,3,0
37,30,4,9,0
45,15,1,8,0
55,35,1,5,1
48,17,4,7,1
64,36,4,3,1
59,40,5,1,0
42,32,4,1,0
52,23,3,2,1
53,20,5,8,0
50,37,6,1,0
36,35,6,5,0
42,39,6,9,0
56,15,6,9,0
40,35,2,2,0
46,41,3,7,1
49,24,5,1,0
59,41,5,3,0
42,20,6,6,0
38,37,1,9,0
49,26,5,10,0
62,18,3,2,1
54,42,4,7,1
59,27,3,4,1
51,31,6,2,0
47,41,6,3,0
52,22,2,6,1
36,40,5,10,0
47,34,5,9,0
47,17,5,8,0
56,26,6,10,0
49,21,5,9,0
54,26,1,4,1
63,16,1,4,2
61,38,4,9,1
44,28,5,8,0
63,36,2,2,2
37,37,4,8,0
53,44,6,1,0
37,19,5,9,0
56,23,1,9,1
48,35,2,8,1
42,25,4,5,0
61,19,2,5,1
57,17,5,3,0
64,41,3,5,1
38,31,2,4,0
61,16,2,1,2
62,38,6,9,0
54,15,1,10,1
45,21,5,4,0
60,44,2,3,2
45,28,5,6,0
61,19,1,1,2
64,33,6,5,0
45,42,5,7,0
36,42,1,2,0
64,25,1,10,1
51,37,4,9,1
43,39,6,6,0
62,16,6,2,0
62,22,5,8,0
36,23,3,8,0
63,41,4,1,1
58,17,6,1,0
49,16,1,1,1
50,21,6,4,0
59,19,3,4,1
38,35,2,8,0
42,40,2,1,0
43,19,6,10,0
60,34,6,3,0
60,27,4,1,1
39,35,6,9,0
50,43,3,10,1
47,34,6,9,0
64,43,5,7,0
41,20,3,8,0
60,34,4,1,1
54,32,5,5,0
51,39,5,2,0
37,16,2,1,0
39,39,3,3,0
53,40,5,7,0
46,20,4,1,1
63,23,2,2,2
61,39,5,2,0
41,17,3,4,0
62,15,2,3,2
43,15,3,3,0
62,33,3,10,1
40,19,3,5,0
63,27,2,3,2
60,33,5,7,0
51,26,6,5,0
50,30,1,4,1
57,39,5,3,0
37,39,2,4,0
55,33,1,2,1
60,17,1,1,2
38,26,1,3,0
44,44,6,2,0
39,19,4,1,0
55,16,2,1,1
56,36,6,2,0
64,21,6,9,0
44,27,4,5,0
46,39,1,9,1
44,29,4,8,0
63,36,4,6,1
47,17,6,1,0
45,42,2,10,0
56,35,3,5,1
50,34,4,1,1
42,19,4,7,0
42,38,1,10,0
61,22,1,8,1
59,36,6,8,0
42,15,1,7,0
47,22,5,2,0
61,38,4,5,1
36,32,1,4,0
64,34,2,5,1
64,42,5,10,0
46,30,6,9,0
44,32,3,4,0
46,34,4,8,1
45,26,4,8,0
49,27,2,2,1
50,27,3,6,1
51,24,3,5,1
60,21,6,2,0
36,39,6,10,0
52,28,5,4,0
46,44,4,7,1
53,38,1,1,1
60,30,6,9,0
57,29,2,10,1
52,26,2,1,1
64,23,2,5,1
51,22,6,7,0
64,32,6,8,0
40,37,2,2,0
59,32,6,4,0
49,27,1,2,1
37,42,1,4,0
40,41,5,6,0
37,32,4,6,0
64,29,1,2,2
63,18,5,4,0
35,31,3,4,0
64,19,4,1,1
47,36,1,2,1
62,30,3,3,1
55,23,5,5,0
60,24,1,8,1
48,38,1,6,1
47,32,6,3,0
61,31,3,6,1
38,32,1,7,0
41,21,2,6,0
56,18,6,10,0
44,40,6,6,0
41,19,1,1,0
55,42,6,3,0
49,37,4,7,1
49,30,3,4,1
38,17,4,4,0
57,40,5,7,0
57,32,4,9,1
40,43,2,2,0
58,37,6,9,0
54,35,6,3,0
60,28,2,6,1
39,29,6,4,0
54,31,4,1,1
46,15,5,9,0
35,39,1,6,0
62,35,2,8,1
42,31,4,2,0
35,37,4,7,0
39,39,4,6,0
56,25,1,2,2
40,31,3,2,0
63,40,6,4,0
55,28,6,4,0
37,43,5,3,0
49,34,3,8,1
39,44,6,7,0
62,33,5,2,0
58,35,5,3,0
48,21,4,10,1
52,38,2,9,1
50,27,4,5,1
40,32,1,2,0
59,37,6,3,0
58,44,5,8,0
48,28,2,4,1
61,15,6,2,0
58,21,5,2,0
42,22,5,6,0
63,32,4,8,1
41,23,2,7,0
42,15,2,4,0
47,43,6,2,0
40,36,5,9,0
52,31,2,4,1
36,33,2,9,0
42,41,6,5,0
45,20,4,7,0
35,17,3,5,0
56,38,1,2,2
63,19,3,6,1
40,16,2,7,0
50,34,5,6,0
61,39,1,3,2
54,18,1,10,1
46,24,5,8,0
45,24,1,3,0
63,38,5,5,0
61,35,1,9,1
63,25,6,5,0
44,41,6,7,0
37,30,3,7,0
47,40,1,5,1
61,43,4,2,1
37,43,5,5,0
49,44,1,7,1
50,31,6,7,0
63,30,6,4,0
47,21,5,1,0
51,30,4,6,1
37,17,1,3,0
54,40,1,5,1
45,30,4,4,0
61,22,4,2,1
55,44,4,7,1
53,26,6,5,0
56,17,5,7,0
45,31,4,9,0
64,35,5,4,0
62,32,3,5,1
50,25,1,9,1
55,18,1,10,1
37,30,2,4,0
56,31,3,5,1
40,23,4,5,0
48,20,4,8,1
58,38,6,4,0
52,41,3,4,1
51,34,4,7,1
38,39,2,5,0
57,16,5,6,0
49,23,1,6,1
45,42,3,6,0
60,35,1,10,1
37,43,5,5,0
37,20,3,5,0
50,17,5,9,0
39,34,4,8,0
55,20,4,4,1
63,21,4,7,1
44,15,5,8,0
53,37,5,9,0
59,15,5,5,0
38,19,1,3,0
63,20,5,4,0
63,27,4,10,1
53,16,2,6,1
45,29,5,10,0
36,29,2,5,0
44,27,4,9,0
63,40,5,3,0
45,39,1,2,0
59,28,1,6,1
54,40,2,7,1
50,36,6,5,0
53,21,1,1,1
57,28,1,3,2
58,40,1,3,2
45,38,4,4,0
48,41,1,10,1
36,43,3,6,0
57,24,5,5,0
62,31,1,1,2
39,28,6,6,0
61,22,6,9,0
39,18,1,1,0
53,40,1,8,1
55,30,3,8,1
46,38,1,3,1
52,27,1,9,1
38,36,5,8,0
56,41,6,3,0
51,39,3,10,1
44,41,6,5,0
54,34,3,3,1
40,32,6,5,0
59,28,1,9,1
48,32,6,4,0
45,19,6,6,0
45,40,3,3,0
63,23,2,3,2
52,42,3,5,1
61,17,3,8,1
57,22,3,8,1
56,34,4,3,1
52,36,4,8,1
58,24,4,8,1
57,36,3,3,1
45,33,2,10,0
55,44,3,10,1
46,35,1,2,1
39,42,2,10,0
57,17,4,2,1
43,25,6,9,0
61,25,6,7,0
59,31,5,6,0
43,30,2,7,0
56,21,4,8,1
44,18,2,1,0
56,44,2,8,1
53,37,6,3,0
35,33,3,3,0
41,26,1,6,0
38,29,5,4,0
35,25,4,4,0
49,19,2,4,1
42,19,5,10,0
46,29,2,9,1
56,43,6,8,0
56,32,1,3,2
52,25,6,1,0
49,40,5,1,0
51,26,4,1,1
63,16,2,4,2
48,34,1,6,1
48,29,6,4,0
52,34,5,3,0
54,18,6,8,0
52,36,2,8,1
50,32,2,6,1
35,20,4,9,0
57,37,1,10,1
61,41,3,1,1
45,40,6,8,0
49,33,2,6,1
46,25,5,1,0
42,42,6,4,0
56,38,4,5,1
54,16,4,7,1
64,41,2,8,1
40,22,2,9,0
37,43,2,6,0
62,25,3,10,1
58,19,2,9,1
60,32,6,4,0
64,37,6,8,0
47,44,1,3,1
47,32,5,4,0
36,28,2,10,0
39,36,6,4,0
51,24,6,6,0
40,17,6,9,0
36,23,3,6,0
38,17,5,1,0
56,25,4,5,1
60,26,6,9,0
45,26,2,5,0
42,17,6,6,0
46,35,5,3,0
42,21,4,8,0
